,stop_number,stop_address
913,3020,"Kilmacud Rd, Drummartin Close"
914,3021,"Kilmacud Rd, Sweet Briar Lane"
915,3022,"Kilmacud Rd, Mount Anville School"
916,441,"Kilmacud Rd, Redesdale Road"
917,442,"Kilmacud Rd, Dale Drive"
918,443,"Kilmacud Rd, South Avenue"
919,444,"Kilmacud Rd, Kilmacud Park"
920,445,"Kilmacud Rd, Kilmacud House"
921,4779,"Kilmacud Rd, St. Raphaela's"
922,7057,"Stillorgan Heath, Blackthorn Avenue"
923,4847,"Blackthorn Drive, Luas Car Park"
924,4848,"Blackthorn Drive, Blackthorn Road"
946,449,"Blackthorn Road, Corrig Road"
947,450,"Blackthorn Road, Heather Road"
948,3181,"Blackthorn Road, Carmanhall Road"
949,451,"Blackthorn Drive, Arkle Road"
950,447,"Kilmacud Rd, Blackthorn Avenue"
951,5045,"Kilmacud Rd, St. Raphaela's"
952,4460,"Kilmacud Rd, Whately Place"
953,453,"Kilmacud Rd, Kilmacud Park"
954,454,"Kilmacud Rd, South Avenue"
955,4475,"Kilmacud Rd, Dale Drive"
956,3023,"Kilmacud Rd, Mount Anville School"
957,3024,"Kilmacud Rd, Drummartin Park"
958,3025,"Kilmacud Rd, Drummartin Rd"
959,3026,"Drummartin Rd, Eden Park Drive"
960,3027,"Kilmacud Rd, Drummartin Terrace"
961,3028,"Goatstown Rd, Farmhill Park"
962,3029,"Goatstown Rd, Goatstown Ave"
963,3030,"Goatstown Rd, Larchfield Rd"
964,3031,"Goatstown Rd, Roebuck Downs"
965,875,"Roebuck Road, White Oak"
966,876,"Bird Avenue, Roebuck Road"
967,878,"Clonskeagh Rd, UCD"
968,879,"Clonskeagh Rd, Annsbrook"
969,880,"Clonskeagh Rd, Whitebeam Road"
970,881,"Clonskeagh Rd, Beech Hill"
971,882,"Clonskeagh Rd, Clonskea Hospital"
972,883,"Clonskeagh Rd, Milltown Road"
973,884,"Sandford Road, Milltown Park"
974,885,"Sandford Road, Hollybank Ave"
975,886,"Sandford Road, Merton Drive"
976,887,"Ranelagh, Ashfield Road"
977,903,"Chelmsford Road, Chelmsford Avenue"
978,904,"Appian Way, Winton Road"
979,906,"Leeson Street, Appian Way"
980,907,"Leeson Street, St. John's Ambulance"
981,908,"Leeson Street, Grand Parade"
982,909,"Leeson Street, Adelaide Road"
983,786,"Leeson Street, Earlsfort Terrace"
984,793,"Dawson Street, Nassau Street"
985,320,"Westmoreland Street, Fleet Street"
996,22,"Home Farm Road, Drumcondra Road"
997,23,"Home Farm Road, Ferguson Road"
998,24,"Home Farm Road, Walsh Road"
999,25,"Home Farm Road, Rathlin Road"
1004,31,"St. Pappin's Road, Maolbuille Road"
1005,32,"St. Pappin's Road, Stormanstown Road"
1006,33,"Glasnevin Drive, Glasnevin Park"
1007,7220,"Hillcrest Pk, Glasnevin Park"
1050,6235,"Old Airport Rd, Harristown Depot"
1052,6016,"Balbutcher Lane, St. Margaret's Rd"
1053,6017,"Balbutcher Lane, Gallaun Road"
1054,7192,"Balbutcher Lane, Balbutcher Way"
1055,4683,"Balbutcher Lane, Balbutcher Drive"
1056,107,"Balbutcher Lane, Crannogue Road"
