stop_number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1847,70,38D,38B,39A,39,38,38A,,,,,,,,,,,,,,,,
1849,38,,,,,,,,,,,,,,,,,,,,,,
1850,220,39,39A,,,,,,,,,,,,,,,,,,,,
1851,38,,,,,,,,,,,,,,,,,,,,,,
1852,220,39,,,,,,,,,,,,,,,,,,,,,
1853,39,220,,,,,,,,,,,,,,,,,,,,,
1854,220,39,,,,,,,,,,,,,,,,,,,,,
1856,220,,,,,,,,,,,,,,,,,,,,,,
1857,220,,,,,,,,,,,,,,,,,,,,,,
1858,220,39,39A,,,,,,,,,,,,,,,,,,,,
1859,39A,39,220,,,,,,,,,,,,,,,,,,,,
1860,220,39,39A,,,,,,,,,,,,,,,,,,,,
1861,39A,39,220,,,,,,,,,,,,,,,,,,,,
1862,220,39,39A,,,,,,,,,,,,,,,,,,,,
1863,39A,39,220,,,,,,,,,,,,,,,,,,,,
1864,220,39,39A,,,,,,,,,,,,,,,,,,,,
1865,39A,39,220,,,,,,,,,,,,,,,,,,,,
1866,220,39,39A,,,,,,,,,,,,,,,,,,,,
1867,39A,39,220,,,,,,,,,,,,,,,,,,,,
1869,220,39,39A,,,,,,,,,,,,,,,,,,,,
1870,39A,39,220,,,,,,,,,,,,,,,,,,,,
1871,220,39,39A,,,,,,,,,,,,,,,,,,,,
1872,39A,39,220,,,,,,,,,,,,,,,,,,,,
1873,220,39,39A,,,,,,,,,,,,,,,,,,,,
1874,39A,39,220,,,,,,,,,,,,,,,,,,,,
1875,220,39,39A,,,,,,,,,,,,,,,,,,,,
1876,39A,39,220,,,,,,,,,,,,,,,,,,,,
1877,220,39,39A,,,,,,,,,,,,,,,,,,,,
1878,39A,39,220,,,,,,,,,,,,,,,,,,,,
1879,220,39,39A,,,,,,,,,,,,,,,,,,,,
1880,220,,,,,,,,,,,,,,,,,,,,,,
1881,220,,,,,,,,,,,,,,,,,,,,,,
1882,220,239,37,39,,,,,,,,,,,,,,,,,,,
1883,39,239,220,,,,,,,,,,,,,,,,,,,,
1884,220,239,39,,,,,,,,,,,,,,,,,,,,
1887,39,239,,,,,,,,,,,,,,,,,,,,,
1888,239,39,,,,,,,,,,,,,,,,,,,,,
1889,39,239,,,,,,,,,,,,,,,,,,,,,
1890,239,39,,,,,,,,,,,,,,,,,,,,,
1891,39,,,,,,,,,,,,,,,,,,,,,,
1893,39,,,,,,,,,,,,,,,,,,,,,,
